SITE_LAT,SITE_LON,coarse,americas_split,fine
14.8707,-90.6661,Americas,Am:Mesoamerica,Am:Mesoamerica
29.9359,52.8926,Middle East,Middle East,ME:east
30.6521,61.401,South Asia,South Asia,South Asia
41.606,15.8836,Europe-Med,Europe-Med,Eur:north
21.1935,94.8951,South Asia,South Asia,South Asia
17.4841,-92.0462,Americas,Am:Mesoamerica,Am:Mesoamerica
20.2487,-89.647,Americas,Am:Mesoamerica,Am:Mesoamerica
-8.1104,-79.0747,Americas,Am:Andes/S.Am,Am:Andes/S.Am
19.0013,-88.2304,Americas,Am:Mesoamerica,Am:Mesoamerica
32.3252,35.7273,Middle East,Middle East,ME:west
14.9232,-92.1798,Americas,Am:Mesoamerica,Am:Mesoamerica
25.2934,32.5562,Middle East,Middle East,ME:west
15.8276,-91.8838,Americas,Am:Mesoamerica,Am:Mesoamerica
22.4582,-102.8218,Americas,Am:Mesoamerica,Am:Mesoamerica
-13.5024,-76.045,Americas,Am:Andes/S.Am,Am:Andes/S.Am
34.0741,-5.5549,Europe-Med,Europe-Med,Med:south
16.8988,-92.0097,Americas,Am:Mesoamerica,Am:Mesoamerica
45.3739,36.526,Other,Other,Other
37.9976,-7.9494,Europe-Med,Europe-Med,Med:south
20.5536,75.7012,South Asia,South Asia,South Asia
16.9578,-96.4496,Americas,Am:Mesoamerica,Am:Mesoamerica
20.2149,-87.4294,Americas,Am:Mesoamerica,Am:Mesoamerica
33.484,44.728,Middle East,Middle East,ME:west
32.637,14.2935,Europe-Med,Europe-Med,Med:south
19.2678,-103.7271,Americas,Am:Mesoamerica,Am:Mesoamerica
18.2779,-93.2003,Americas,Am:Mesoamerica,Am:Mesoamerica
36.3222,5.7351,Europe-Med,Europe-Med,Med:south
42.4112,11.2866,Europe-Med,Europe-Med,Eur:north
21.1831,94.8905,South Asia,South Asia,South Asia
38.0381,-3.6259,Europe-Med,Europe-Med,Med:south
42.1512,24.752,Europe-Med,Europe-Med,Eur:north
20.681,-88.57,Americas,Am:Mesoamerica,Am:Mesoamerica
-8.1134,-79.0769,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-14.8193,-75.1162,Americas,Am:Andes/S.Am,Am:Andes/S.Am
32.7088,20.9541,Europe-Med,Europe-Med,Med:south
16.0039,-90.0439,Americas,Am:Mesoamerica,Am:Mesoamerica
20.1692,-89.3388,Americas,Am:Mesoamerica,Am:Mesoamerica
30.9566,31.5166,Middle East,Middle East,ME:west
16.9717,-96.492,Americas,Am:Mesoamerica,Am:Mesoamerica
16.9584,-96.4505,Americas,Am:Mesoamerica,Am:Mesoamerica
40.7483,14.4889,Europe-Med,Europe-Med,Eur:north
-10.8712,-77.5308,Americas,Am:Andes/S.Am,Am:Andes/S.Am
45.9147,22.8148,Europe-Med,Europe-Med,Eur:north
30.962,46.104,Middle East,Middle East,ME:east
13.783,104.5372,Oceania/SE Asia,Oceania/SE Asia,Oceania/SE Asia
14.9232,-92.18,Americas,Am:Mesoamerica,Am:Mesoamerica
40.0992,-8.4949,Europe-Med,Europe-Med,Eur:north
40.1663,-6.1008,Europe-Med,Europe-Med,Eur:north
-7.077,-79.684,Americas,Am:Andes/S.Am,Am:Andes/S.Am
18.1067,-89.8116,Americas,Am:Mesoamerica,Am:Mesoamerica
26.5547,31.6199,Middle East,Middle East,ME:west
-2.5398,-78.8749,Americas,Am:Andes/S.Am,Am:Andes/S.Am
38.4823,22.5013,Europe-Med,Europe-Med,Med:south
34.375,108.685,East Asia,East Asia,East Asia
37.385,27.2563,Europe-Med,Europe-Med,Med:south
-11.953,-77.1186,Americas,Am:Andes/S.Am,Am:Andes/S.Am
44.7057,8.8671,Europe-Med,Europe-Med,Eur:north
36.3871,10.1312,Europe-Med,Europe-Med,Med:south
16.8988,-92.0103,Americas,Am:Mesoamerica,Am:Mesoamerica
20.173,-89.579,Americas,Am:Mesoamerica,Am:Mesoamerica
17.7647,-88.6531,Americas,Am:Mesoamerica,Am:Mesoamerica
32.6382,14.292,Europe-Med,Europe-Med,Med:south
19.5521,-97.4897,Americas,Am:Mesoamerica,Am:Mesoamerica
19.5517,-97.4868,Americas,Am:Mesoamerica,Am:Mesoamerica
16.3952,-90.2044,Americas,Am:Mesoamerica,Am:Mesoamerica
-9.9311,-76.2796,Americas,Am:Andes/S.Am,Am:Andes/S.Am
35.1157,40.2663,Middle East,Middle East,ME:west
19.0008,-99.1014,Americas,Am:Mesoamerica,Am:Mesoamerica
35.4857,6.4637,Europe-Med,Europe-Med,Med:south
42.0031,12.0996,Europe-Med,Europe-Med,Eur:north
42.0799,13.4113,Europe-Med,Europe-Med,Eur:north
21.1659,94.8602,South Asia,South Asia,South Asia
19.269,-103.7252,Americas,Am:Mesoamerica,Am:Mesoamerica
-13.5091,-71.9828,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-13.5077,-71.9822,Americas,Am:Andes/S.Am,Am:Andes/S.Am
18.2789,-93.2009,Americas,Am:Mesoamerica,Am:Mesoamerica
29.3838,67.616,South Asia,South Asia,South Asia
18.5603,-89.94535,Americas,Am:Mesoamerica,Am:Mesoamerica
24.0845,32.8861,Middle East,Middle East,ME:west
20.681,-88.57,Americas,Am:Mesoamerica,Am:Mesoamerica
41.123,75.7,Other,Other,Other
-9.594,-77.176,Americas,Am:Andes/S.Am,Am:Andes/S.Am
19.5957,-90.2306,Americas,Am:Mesoamerica,Am:Mesoamerica
20.3596,-89.7714,Americas,Am:Mesoamerica,Am:Mesoamerica
33.2527,35.7147,Middle East,Middle East,ME:west
19.0575,-98.3019,Americas,Am:Mesoamerica,Am:Mesoamerica
17.0036,-96.5566,Americas,Am:Mesoamerica,Am:Mesoamerica
21.092,-89.6006,Americas,Am:Mesoamerica,Am:Mesoamerica
18.6386,-88.7594,Americas,Am:Mesoamerica,Am:Mesoamerica
20.2146,-87.4289,Americas,Am:Mesoamerica,Am:Mesoamerica
37.925,29.1258,Europe-Med,Europe-Med,Med:south
30.7944,34.7735,Middle East,Middle East,ME:west
19.2929,-103.7054,Americas,Am:Mesoamerica,Am:Mesoamerica
19.5525,-99.1733,Americas,Am:Mesoamerica,Am:Mesoamerica
13.8025,-89.3875,Americas,Am:Mesoamerica,Am:Mesoamerica
-6.4521,-79.8024,Americas,Am:Andes/S.Am,Am:Andes/S.Am
37.655,62.1525,South Asia,South Asia,South Asia
18.278,-93.20058,Americas,Am:Mesoamerica,Am:Mesoamerica
38.1528,24.2635,Europe-Med,Europe-Med,Med:south
40.0194,34.6144,Middle East,Middle East,ME:west
32.3252,35.7273,Middle East,Middle East,ME:west
20.681,-88.57,Americas,Am:Mesoamerica,Am:Mesoamerica
-9.4886,-78.2588,Americas,Am:Andes/S.Am,Am:Andes/S.Am
36.5946,2.4439,Europe-Med,Europe-Med,Med:south
32.6829,35.6018,Middle East,Middle East,ME:west
35.4597,43.2612,Middle East,Middle East,ME:west
32.53,44.4262,Middle East,Middle East,ME:west
16.9022,-92.0095,Americas,Am:Mesoamerica,Am:Mesoamerica
22.4579,-102.8216,Americas,Am:Mesoamerica,Am:Mesoamerica
17.7642,-88.347,Americas,Am:Mesoamerica,Am:Mesoamerica
38.0366,-3.6252,Europe-Med,Europe-Med,Med:south
30.835,46.332,Middle East,Middle East,ME:east
10.7825,79.1315,South Asia,South Asia,South Asia
10.7826,79.1318,South Asia,South Asia,South Asia
21.1858,94.8936,South Asia,South Asia,South Asia
20.3583,-89.772,Americas,Am:Mesoamerica,Am:Mesoamerica
18.8054,-99.2967,Americas,Am:Mesoamerica,Am:Mesoamerica
19.0013,-88.2304,Americas,Am:Mesoamerica,Am:Mesoamerica
39.8014,98.2158,East Asia,East Asia,East Asia
13.981,-89.1626,Americas,Am:Mesoamerica,Am:Mesoamerica
34.375,108.698,East Asia,East Asia,East Asia
17.756,-89.921,Americas,Am:Mesoamerica,Am:Mesoamerica
24.0857,32.8862,Middle East,Middle East,ME:west
32.5433,44.4229,Middle East,Middle East,ME:west
34.8055,48.5164,Middle East,Middle East,ME:east
20.681,-88.57,Americas,Am:Mesoamerica,Am:Mesoamerica
-13.4142,-71.8439,Americas,Am:Andes/S.Am,Am:Andes/S.Am
19.5003,-89.7836,Americas,Am:Mesoamerica,Am:Mesoamerica
20.1728,-89.3455,Americas,Am:Mesoamerica,Am:Mesoamerica
-13.5024,-76.045,Americas,Am:Andes/S.Am,Am:Andes/S.Am
29.5177,30.9033,Middle East,Middle East,ME:west
36.359,43.153,Middle East,Middle East,ME:west
13.1629,75.8604,South Asia,South Asia,South Asia
33.9074,35.9489,Middle East,Middle East,ME:west
22.4592,-102.8233,Americas,Am:Mesoamerica,Am:Mesoamerica
16.9015,-92.0098,Americas,Am:Mesoamerica,Am:Mesoamerica
20.1742,-89.6062,Americas,Am:Mesoamerica,Am:Mesoamerica
36.5214,34.1258,Middle East,Middle East,ME:west
36.5214,34.1258,Middle East,Middle East,ME:west
