SITE_LAT,SITE_LON,BEARING,cluster_25km,cluster_50km,cluster_75km,cluster_100km
20.0643,-99.341,18.0,189,153,26,21
17.7643,-88.3478,15.0,152,28,25,16
20.4474,-97.3787,17.5,40,36,32,21
32.1056,34.9309,-23.0,177,49,44,35
19.0017,-88.2336,15.0,108,90,25,16
18.2797,-93.2014,16.0,116,97,86,70
18.6385,-88.7578,15.0,75,32,25,16
21.0911,-89.5979,15.5,87,24,22,16
31.1821,29.89625,-22.5,190,154,127,43
39.0622,-7.4885,-20.0,171,78,70,57
18.1067,-89.8116,15.0,130,110,25,16
40.7492,14.4844,-25.0,125,105,94,77
14.9239,-92.1797,15.0,98,82,74,16
20.681,-88.57,15.0,105,88,22,16
36.359,43.153,-23.0,161,135,49,30
38.3533,43.4613,-23.5,183,79,71,58
34.34,108.562,-8.0,51,12,12,11
34.338,108.57,-8.0,51,12,12,11
34.363,108.631,-8.0,51,12,12,11
34.362,108.64,-8.0,51,12,12,11
20.172,-89.3443,15.0,26,24,22,16
37.8471,34.6109,-24.0,191,155,128,105
20.6954,-103.8384,18.0,192,156,129,106
20.6948,-103.8362,18.0,192,156,129,106
19.1077,-99.5962,17.0,186,29,26,21
19.532,-99.168,17.0,32,29,26,21
18.1205,-90.8371,15.0,193,157,66,16
20.2488,-89.6487,15.0,26,24,22,16
20.9373,-89.0166,15.0,194,24,22,16
38.0146,27.472,-24.0,195,113,100,82
17.4841,-92.0462,15.0,85,73,66,16
20.6304,-89.4602,15.0,169,24,22,16
21.3131,-89.3539,15.0,196,24,22,16
38.4823,22.5013,-24.0,132,112,99,81
34.571,108.266,-8.0,14,12,12,11
17.768,-91.2995,14.0,197,152,66,16
-6.4064,-79.8995,10.0,18,16,15,8
-6.5175,-79.8446,10.0,18,16,15,8
32.4505,35.6146,-22.0,102,49,44,35
32.3252,35.7273,-22.0,102,49,44,35
18.1067,-89.8116,14.5,130,110,25,16
47.595,-3.0742,-25.0,198,158,130,107
29.3833,67.614,-18.0,74,64,57,46
37.0803,-8.1209,-18.0,84,72,65,53
19.0013,-88.2304,14.0,108,90,25,16
24.0845,32.8861,-20.0,64,55,48,39
43.518,67.7743,-20.0,36,33,29,24
20.0642,-99.3404,16.5,189,153,26,21
14.8728,-90.6641,14.0,28,20,18,16
20.178,-89.6525,14.5,26,24,22,16
20.2481,-89.6467,14.5,26,24,22,16
40.081,44.034,-23.0,188,58,51,41
37.3741,27.6751,-23.0,170,113,100,82
36.6054,2.1905,-20.0,151,130,113,91
37.6598,27.2978,-23.0,199,113,100,82
30.7971,34.7756,-21.0,73,63,56,35
32.536,44.4268,-21.0,42,38,34,27
-10.8431,-77.5966,9.0,7,7,7,7
21.1839,94.8819,-11.0,17,15,14,13
18.8046,-99.2964,16.0,138,29,26,21
20.681,-88.57,14.0,105,88,22,16
45.9151,22.8158,-26.0,126,106,95,78
18.1205,-90.837,14.0,193,157,66,16
19.4999,-89.784,14.0,159,124,22,16
20.6348,-89.4431,14.0,169,24,22,16
20.1701,-89.3448,14.0,26,24,22,16
13.9806,-89.1642,13.0,156,66,59,48
17.4841,-92.0462,14.0,85,73,66,16
20.5618,-89.9528,14.0,200,24,22,16
21.091,-89.59,14.0,87,24,22,16
14.8415,-89.1421,13.0,201,159,131,48
37.9812,38.7416,-22.0,202,160,132,108
35.4536,43.2656,-21.0,65,56,49,30
29.9352,52.8896,-19.0,50,43,39,31
18.1067,-89.8116,13.5,130,110,25,16
13.9894,-89.6725,13.0,174,66,59,48
29.5951,30.6779,-20.0,160,134,93,43
24.0262,32.8846,-19.0,64,55,48,39
40.1531,44.4529,-22.0,67,58,51,41
38.7211,-9.3232,-17.0,167,141,120,98
19.692,-98.844,15.5,32,29,26,21
19.6698,-96.4157,15.0,63,54,27,22
-14.818,-75.1145,8.0,121,102,91,75
20.0635,-99.3421,15.5,189,153,26,21
38.0372,-3.6245,-18.0,119,100,89,73
30.9748,31.8808,-20.0,203,104,93,43
19.2084,72.9058,-15.0,179,147,123,101
19.5515,-97.4857,15.0,46,41,37,21
18.28,-93.2018,14.0,116,97,86,70
17.7684,-91.2985,13.5,197,152,66,16
14.8743,-90.6625,13.0,28,20,18,16
19.597,-90.229,13.5,145,124,22,16
20.2489,-89.6438,13.5,26,24,22,16
20.1712,-89.5783,13.5,26,24,22,16
20.1723,-89.5774,13.0,26,24,22,16
31.1965,30.7447,-20.0,69,60,53,43
31.6083,34.8947,-20.0,204,49,44,35
13.7787,104.5395,-8.0,127,107,96,18
20.4457,-97.3771,15.0,40,36,32,21
21.0911,-89.5899,13.5,87,24,22,16
21.3138,-89.3539,13.5,196,24,22,16
35.4835,6.4664,-19.0,139,118,105,85
40.7485,14.4837,-22.0,125,105,94,77
15.0233,-91.1717,13.0,205,20,18,16
18.5107,-89.4065,13.0,182,121,25,16
