SITE NAME,COUNTRY,LAT,LON,BEARING,independent_intersection_lat,d_I (current),d_II,d_III,d_IV,d_V,d_min_5pole,nearest_pole_5pole,d_min_6pole,nearest_pole_6pole
Chankillo,Peru,-9.5629,-78.226,26.0,42.94018553932585,47.05981446067415,33.05981446067415,29.25981446067415,21.15981446067414,9.359814460674144,9.359814460674144,V,0.9401855393258529,VI
Raqch'i,Peru,-14.1728,-71.369,20.0,43.06099236707601,46.93900763292399,32.93900763292399,29.13900763292399,21.039007632923983,9.239007632923986,9.239007632923986,V,1.060992367076011,VI
Tenam Puente,Mexico,16.141,-92.1064,45.0,43.253705349422845,46.746294650577155,32.746294650577155,28.94629465057716,20.84629465057715,9.046294650577153,9.046294650577153,V,1.2537053494228445,VI
Tenam Puente,Mexico,16.1419,-92.1056,45.0,43.25394739336416,46.74605260663584,32.74605260663584,28.946052606635845,20.846052606635837,9.04605260663584,9.04605260663584,V,1.2539473933641574,VI
Zaculeu,Guatemala,15.3343,-91.4931,44.0,43.444231849735864,46.555768150264136,32.555768150264136,28.75576815026414,20.65576815026413,8.855768150264133,8.855768150264133,V,1.4442318497358642,VI
Burnt City,Iran,30.6516,61.4016,-44.0,43.63460850108853,46.36539149891147,32.36539149891147,28.565391498911474,20.465391498911465,8.665391498911468,8.665391498911468,V,1.634608501088529,VI
Yaxchilan,Mexico,16.9001,-90.9675,43.5,44.487383967941184,45.512616032058816,31.512616032058816,27.71261603205882,19.61261603205881,7.812616032058813,7.812616032058813,V,2.4873839679411844,VI
Preah Khan of Kompong Svay,Cambodia,13.1925,104.9008,-22.0,44.609930052816416,45.390069947183584,31.390069947183584,27.590069947183586,19.490069947183578,7.690069947183581,7.690069947183581,V,2.6099300528164164,VI
Labna,Mexico,20.1712,-89.5789,45.0,44.72309676985673,45.27690323014327,31.27690323014327,27.47690323014327,19.376903230143263,7.576903230143266,7.576903230143266,V,2.723096769856731,VI
Pando,Peru,-10.8558,-77.5734,24.0,44.84278761964369,45.15721238035631,31.157212380356313,27.357212380356316,19.257212380356307,7.45721238035631,7.45721238035631,V,2.842787619643687,VI
Cerro Colorado,Peru,-10.8705,-77.5297,24.0,44.792330419342214,45.207669580657786,31.207669580657786,27.40766958065779,19.30766958065778,7.507669580657783,7.507669580657783,V,2.792330419342214,VI
Caral,Peru,-10.8896,-77.52355,24.0,44.77945838296837,45.22054161703163,31.22054161703163,27.42054161703163,19.320541617031623,7.5205416170316255,7.5205416170316255,V,2.7794583829683717,VI
Caral,Peru,-10.89095,-77.52063,24.0,44.77595639447899,45.22404360552101,31.22404360552101,27.424043605521014,19.324043605521005,7.524043605521008,7.524043605521008,V,2.775956394478989,VI
Caral,Peru,-10.89221,-77.51908,24.0,44.77391337546175,45.22608662453825,31.226086624538247,27.42608662453825,19.32608662453824,7.5260866245382445,7.5260866245382445,V,2.7739133754617527,VI
Xelha,Mexico,20.323,-87.3702,44.0,44.896271786239666,45.103728213760334,31.103728213760334,27.303728213760337,19.20372821376033,7.403728213760331,7.403728213760331,V,2.896271786239666,VI
Mixco Viejo,Mexico,14.8742,-90.6628,41.0,45.36203582566791,44.63796417433209,30.63796417433209,26.837964174332093,18.737964174332085,6.9379641743320875,6.9379641743320875,V,3.3620358256679097,VI
Pucará de Tilcara,Argentina,-23.586,-65.404,14.0,43.82885937748631,46.17114062251369,32.17114062251369,28.371140622513693,20.271140622513684,8.471140622513687,8.471140622513687,V,1.8288593774863102,VI
Caral,Peru,-10.8887,-77.5272,23.5,45.5735187682339,44.4264812317661,30.426481231766097,26.6264812317661,18.52648123176609,6.726481231766094,6.726481231766094,V,3.573518768233903,VI
Caral,Peru,-10.88985,-77.5228,23.5,45.5685790273238,44.4314209726762,30.4314209726762,26.631420972676203,18.531420972676194,6.731420972676197,6.731420972676197,V,3.5685790273238,VI
Tenam Puente,Mexico,16.1414,-92.1053,41.0,46.43870578220338,43.56129421779662,29.561294217796622,25.761294217796625,17.661294217796616,5.861294217796619,5.861294217796619,V,4.438705782203378,VI
Mundigak,Afghanistan,31.9063,65.498,-40.0,46.582754221816685,43.417245778183315,29.417245778183315,25.617245778183317,17.51724577818331,5.717245778183312,5.717245778183312,V,4.5827542218166855,VI
Chankillo,Peru,-9.5647,-78.2262,23.0,47.48465788383156,42.51534211616844,28.51534211616844,24.715342116168443,16.615342116168435,4.815342116168438,4.815342116168438,V,4.815342116168438,V
Lamanai,Belize,17.7695,-88.6498,39.0,47.72486154633513,42.27513845366487,28.275138453664873,24.475138453664876,16.375138453664867,4.57513845366487,4.57513845366487,V,4.57513845366487,V
Acozac,Mexico,19.3296,-98.8897,43.0,47.98212928368133,42.01787071631867,28.01787071631867,24.21787071631867,16.117870716318663,4.317870716318666,4.317870716318666,V,4.317870716318666,V
