SITE NAME,COUNTRY,LAT,LON,BEARING,block
Unknown Chinese Pyramid,China,34.428,108.853,-14.0,East Asia
Tomb of Three Kings of Zhou,China,34.628,112.383,-12.0,East Asia
Elephantin Island,Egypt,24.0845,32.8861,-40.0,Middle East
Girsu,Iraq,31.5624,46.1768,-40.0,Middle East
El Tajín,Mexico,20.4503,-97.3774,36.0,Americas
Avdat,Israel,30.794,34.7752,-42.0,Middle East
Umma,Iraq,31.62,45.9342,-40.0,Middle East
Mehrgarh,Pakistan,29.381,67.6165,-33.0,South Asia
Kohunlich,Mexico,18.4147,-88.7915,30.0,Americas
Bishapur,Iran,29.7798,51.5761,-38.0,Middle East
Mixco Viejo,Mexico,14.8745,-90.663,31.0,Americas
San Andrés,El Salvador,13.8006,-89.3892,30.0,Americas
Tepeapulco,Mexico,19.8136,-98.5566,35.5,Americas
Unknown structure,USA,31.6267,-91.8183,40.0,Americas
Tulum,Mexico,20.2153,-87.4293,32.0,Americas
Old Dongola,Egypt,18.2247,30.7456,-38.0,Middle East
Kanlidivane,Turkey,36.5231,34.1233,-44.0,Middle East
Çatıören,Turkey,36.5217,34.1255,-44.0,Middle East
Çatıören,Turkey,36.5217,34.1255,-44.0,Middle East
Sawran,Kazakhstan,43.5177,67.7698,-35.0,Other
Jebel Barkal,Sudan,18.5353,31.8297,-38.0,Middle East
Roma Havuzu Sarikaya,Turkey,39.495,35.3766,-45.0,Middle East
Bauda,Syria,35.671,36.5691,-43.0,Middle East
Ziggurat of Kish,Iraq,32.5403,44.6047,-40.0,Middle East
Pomac Forest,Peru,-6.4722,-79.7907,20.0,Americas
Pyramid of Sinki,Egypt,26.1578,31.9664,-40.0,Middle East
Vilamoura,Portugal,37.0804,-8.1202,-44.0,Europe-Med
Palenque,Mexico,17.4841,-92.0462,32.0,Americas
El Tajín,Mexico,20.4485,-97.3772,35.0,Americas
Volubilis,Morocco,34.0754,-5.5535,-41.0,Europe-Med
Dzibilchaltun,Mexico,21.091,-89.59,32.0,Americas
Aguateca,Guatemala,16.3952,-90.2044,30.0,Americas
El Tajín,Mexico,20.4483,-97.3777,34.0,Americas
Dur-Kurigalzu,Syria,33.3537,44.2023,-39.0,Middle East
Ruins at Ur,Iraq,30.9617,46.1051,-38.0,Middle East
Pasargadae,Iran,30.1996,53.1789,-36.0,Middle East
Yaxchilan,Mexico,16.8998,-90.9645,30.0,Americas
Uxmal,Mexico,20.3587,-89.7711,31.0,Americas
Xelha,Mexico,20.319,-87.3672,30.0,Americas
Chiapa de Corzo,Mexico,16.7027,-93.0041,30.5,Americas
Túcume,Peru,-6.5115,-79.8396,19.0,Americas
Lamanai,Belize,17.7657,-88.6528,29.0,Americas
Acozac,Mexico,19.3294,-98.8921,33.0,Americas
Aguateca,Guatemala,16.3952,-90.2044,29.0,Americas
Leptis Magna,Libya,32.6357,14.2892,-41.0,Europe-Med
Centum Cellas,Portugal,39.369,-7.3865,-43.0,Europe-Med
Ammaia,Mexico,16.9002,-90.966,29.0,Americas
Yaxchilan,Peru,-8.1048,-79.045,18.0,Americas
Huaca Esmeralda,Peru,-11.0233,-77.6338,17.0,Americas
Vichama,Guatemala,14.633,-90.549,28.0,Americas
Kaminal Juyu,Peru,-8.106,-79.079,18.0,Americas
Chan-Chan,Turkey,39.0554,43.357,-39.0,Middle East
Zernaki Tepe ,Portugal,37.0807,-8.1208,-40.0,Europe-Med
Vilamoura,Turkey,39.2034,29.6087,-43.0,Europe-Med
Aizanoi,El Salvador,13.8006,-89.3895,27.0,Americas
San Andrés,Egypt,22.7312,32.2626,-36.0,Middle East
Temple of Amada,China,34.625,112.375,-11.0,East Asia
Tomb of King Ling of Zhou,Tunesia,36.4222,9.2183,-42.0,Europe-Med
Dougga,Mexico,14.9236,-92.1796,28.0,Americas
Izapa,Mexico,15.8272,-91.8841,28.0,Americas
Lagartero,USA,31.6268,-91.8187,36.0,Americas
Unknown structure,Iraq,31.621,45.933,-36.0,Middle East
Umma,Australia,-33.7181,143.0812,13.0,Oceania/SE Asia
Mungo,Peru,-13.5024,-76.045,15.5,Americas
Chincha Paracas Platform Mounds,Egypt,25.7188,32.6021,-36.0,Middle East
Medinet Habu temple,Portugal,40.0995,-8.4938,-41.0,Europe-Med
Conímbriga,Crimea,44.5928,33.8009,-44.0,Middle East
Mangup Kale,Israel,33.1101,35.5309,-38.0,Middle East
Tel Kadesh Naftali,Iran,32.0098,48.5198,-35.0,Middle East
